Accident ID;Date;Time;City;Country;Latitude;Longitude;Weather Condition;Road Condition;Vehicles Involved;Casualties;Cause
b0dd6f57;19/04/2023;6:39;Mumbai; India;13.488.432;-73.290.682;Snow;Snowy;5;7;Reckless Driving
debfad09;17/01/2023;2:47;São Paulo; Brazil;-37.798.317;-32.244.242;Clear;Icy;4;1;Drunk Driving
6d69aa36;9/04/2024;2:55;Sydney; Australia;33.767.869;104.869.018;Rain;Snowy;1;7;Reckless Driving
425bb1f0;10/10/2023;11:23;Tokyo; Japan;-0.378031;-165.825.855;Storm;Wet;4;0;Drunk Driving
90d5cf62;2/01/2023;12:07;Beijing; China;41.254.879;-30.776.959;Storm;Snowy;3;9;Reckless Driving
24d3501f;2/04/2023;10:57;Paris; France;-85.766.268;-20.271.304;Fog;Icy;2;6;Drunk Driving
0f1ed7d1;11/07/2023;8:34;Mumbai; India;-24.046.032;-4.414.578;Clear;Under Construction;4;8;Reckless Driving
82353f3e;26/05/2024;19:06;Mumbai; India;4.877.465;-13.130.627;Rain;Icy;4;5;Weather Conditions
3ab2d6f6;23/10/2023;19:47;London; UK;-55.335.689;152.606.359;Fog;Wet;2;9;Reckless Driving
6,14E+09;15/07/2024;2:33;Toronto; Canada;24.566.435;-75.913.198;Storm;Snowy;1;7;Mechanical Failure
b0b13d4b;9/11/2024;23:31;Toronto; Canada;-59.047.194;57.831.011;Clear;Under Construction;1;1;Weather Conditions
8694a279;14/09/2023;20:11;Berlin; Germany;-31.825.114;-73.647.462;Fog;Wet;3;9;Drunk Driving
1dfd0097;1/01/2023;17:12;Beijing; China;1.406.127;-32.244.107;Hail;Icy;5;9;Weather Conditions
6c97348c;5/01/2023;18:41;Mumbai; India;155.188;-169.953.341;Snow;Snowy;4;6;Drunk Driving
2db70f77;7/12/2024;19:24;Toronto; Canada;49.206.865;-111.184.284;Hail;Gravel;3;10;Mechanical Failure
24cdeeb9;9/08/2024;23:39;São Paulo; Brazil;-39.332.739;0.991049;Fog;Under Construction;3;2;Speeding
68ab5a6b;29/11/2024;8:16;São Paulo; Brazil;51.568.285;-22.209.768;Clear;Gravel;3;3;Speeding
acfb6bcc;30/12/2023;17:57;Tokyo; Japan;-59.799.586;134.326.268;Snow;Icy;1;1;Speeding
552448f0;1/07/2024;19:25;Tokyo; Japan;-1.900.646;-52.779.439;Rain;Gravel;5;9;Drunk Driving
d4af2e94;3/02/2023;3:04;São Paulo; Brazil;0.520167;-17.005.232;Rain;Gravel;5;3;Drunk Driving
78d1fca8;8/07/2024;10:54;London; UK;41.583.094;34.483.181;Hail;Dry;5;7;Mechanical Failure
711ca10d;6/03/2023;10:17;Beijing; China;14.023.021;13.166.353;Snow;Gravel;2;1;Distracted Driving
07a19dbc;22/01/2023;8:11;Toronto; Canada;-35.515.747;-65.785.699;Fog;Snowy;1;4;Reckless Driving
0d628b15;20/10/2024;21:32;Mumbai; India;-45.421.121;-142.479.166;Clear;Icy;2;5;Speeding
a17755ed;26/03/2024;11:37;Tokyo; Japan;-461.074;15.613.629;Hail;Dry;2;2;Distracted Driving
87bd34a6;24/07/2024;19:32;São Paulo; Brazil;-37.075.082;-3.632.071;Hail;Dry;2;4;Mechanical Failure
6f814599;15/11/2023;8:52;Tokyo; Japan;0.564118;-9.603.814;Hail;Snowy;1;10;Drunk Driving
03e3a796;17/06/2024;3:26;Paris; France;39.311.402;-103.818.156;Rain;Dry;2;6;Drunk Driving
d0028b49;14/12/2024;15:40;Mumbai; India;13.419.264;-17.627.762;Snow;Gravel;3;0;Mechanical Failure
25e09923;15/04/2023;15:09;Beijing; China;-7.718.038;38.151.535;Hail;Wet;4;3;Distracted Driving
bed2c6c4;17/09/2024;0:34;Beijing; China;78.721.562;3.339.283;Snow;Gravel;2;7;Reckless Driving
74740d58;18/12/2024;8:24;New York; USA;-59.229.291;15.139.089;Storm;Under Construction;4;8;Drunk Driving
937a310d;11/02/2023;23:44;Mumbai; India;31.585.442;-81.570.146;Storm;Wet;4;7;Speeding
34429537;13/04/2023;16:57;Beijing; China;66.791.916;169.892.992;Storm;Dry;1;9;Mechanical Failure
32333075;5/05/2024;17:46;New York; USA;-66.593.538;22.316.442;Snow;Wet;1;8;Drunk Driving
5bccf535;1/01/2024;14:27;Toronto; Canada;-40.859.514;22.640.758;Clear;Icy;1;3;Mechanical Failure
33666c67;19/11/2024;4:27;Berlin; Germany;-62.486.431;-47.774.334;Fog;Under Construction;5;6;Distracted Driving
858eef9e;3/09/2023;12:19;São Paulo; Brazil;17.159.559;152.596.097;Hail;Gravel;1;10;Drunk Driving
eeb04951;18/10/2023;12:41;Paris; France;63.995.818;-159.438.143;Clear;Dry;3;7;Reckless Driving
